tweet_id,name,screen_name,retweet_count,text,created_at,favourite_count,hashtags,status_count,location,source_device
1485687162792255488,Xnerdz 🌹,Xnerdz,0,"@Anestheticx @POTUS Just for accuracy: - He promised to get back into nuclear deal with Iran, failed - To be fair, he never promised to legalize cannabis - He did bungle his way out of Afghanistan though.. But he's sanctioning them now  The rest seems relatively accurate. He's a failure overall.",2022-01-24 18:53:16+00:00,0,[],2802,,Twitter Web App
1485687156521775107,james,OS41900301,0,"@StateDept Please speed up siv as well change the siv age restrictions up to 25 years. US and Afghan law is different in Afghanistan up to 25 years is like a child, can not live alone without a family  And siv Case has a lot of problems The process is very slow.And start a visa outside Afg.",2022-01-24 18:53:15+00:00,0,[],3809,,Twitter for Android
1485687132593307657,Lois Wilson,LoisWil15092984,0,@jsteward44 @brithume because the TFG pulled us out of Afghanistan with NO PLAN WHAT SO EVER! Then Biden had to clean up the mess.,2022-01-24 18:53:09+00:00,0,[],17650,,Twitter Web App
1485687132375162884,See Håå,chbkw,0,@Paktyaw4l If Afghanistan wants help from western country they must respect that women are not to be suppressed. Women and men are equal and have same equal rights to work and freedom in life. Otherwise Afghanistan gov can turn to other countries for help.,2022-01-24 18:53:09+00:00,0,[],22235,,Twitter for iPhone
1485687116604526596,james,OS41900301,0,"@SenSanders Please speed up siv as well change the siv age restrictions up to 25 years. US and Afghan law is different in Afghanistan up to 25 years is like a child, can not live alone without a family  And siv Case has a lot of problems The process is very slow.And start a visa outside Afg.",2022-01-24 18:53:05+00:00,0,[],3809,,Twitter for Android
1485687096933240833,Truth seeker,IAMTruthseeker7,0,@Brunolsoto @disclosetv Yep just liked they handled the withdrawal in Afghanistan!!!,2022-01-24 18:53:01+00:00,0,[],1077,,Twitter for iPhone
1485687096367095812,London Catholic,London_Catholic,0,"@great_stalin Entirely agree, though perhaps hvg thought Afghanistan was easy meat has had sth to do with this...",2022-01-24 18:53:01+00:00,1,[],16986,,Twitter for Android
1485687086837600261,james,OS41900301,0,"@WhiteHouse Please speed up siv as well change the siv age restrictions up to 25 years. US and Afghan law is different in Afghanistan up to 25 years is like a child, can not live alone without a family  And siv Case has a lot of problems The process is very slow.And start a visa outside Afg.",2022-01-24 18:52:58+00:00,0,[],3809,,Twitter for Android
1485687055376080896,Rafa Mohammad,rafamahmoodi,0,"@Rachel_Pulfer @PeterMacKay @ratnaomi @AllanMRock @jhrnews I worked SHOULDER TO SHOULDER as an interpreter in Afghanistan, but no one heard my voice. I am living like a prisoner in Afghanistan and waiting for death by the Taliban. I am ready to talk and show my document to any media.",2022-01-24 18:52:51+00:00,0,[],1239,,Twitter Web App
1485687042189180930,james,OS41900301,0,"@StateDeputySpox Please speed up siv as well change the siv age restrictions up to 25 years. US and Afghan law is different in Afghanistan up to 25 years is like a child, can not live alone without a family  And siv Case has a lot of problems The process is very slow.And start a visa outside Afg.",2022-01-24 18:52:48+00:00,0,[],3809,,Twitter for Android
